"scientific_name","decimal_latitude","decimal_longitude","where_obtained_coordinates","total_num_specimens"
"Bombus bimaculatus","35.7702","-78.462853","dataset provided",1
"Bombus bimaculatus","35.77194","-78.63889","dataset provided",2
"Bombus bimaculatus","35.77209091","-78.63861084","dataset provided",1
"Bombus bimaculatus","35.77973938","-78.64340973","dataset provided",18
"Bombus bimaculatus","35.781","-78.639","dataset provided",5
"Bombus bimaculatus","35.782653","-78.82505","dataset provided",1
"Bombus bimaculatus","35.783","-78.6597","dataset provided",1
"Bombus bimaculatus","35.786","-78.669","dataset provided",1
"Bombus bimaculatus","35.788","-78.673","dataset provided",19
"Bombus bimaculatus","35.794","-78.7","dataset provided",3
"Bombus bimaculatus","35.795","-78.668","dataset provided",1
"Bombus bimaculatus","35.797","-78.634","dataset provided",1
"Bombus bimaculatus","35.8","-78.55","google earth - Wake County",3
"Bombus bimaculatus","35.801706","-78.60633","dataset provided",1
"Bombus bimaculatus","35.803","-78.684","dataset provided",1
"Bombus bimaculatus","35.80319","-78.56608","dataset provided",3
"Bombus bimaculatus","35.805195","-78.872222","dataset provided",1
"Bombus bimaculatus","35.812","-78.714","dataset provided",3
"Bombus bimaculatus","35.816","-78.642","dataset provided",2
"Bombus bimaculatus","35.81889","-78.64472","dataset provided",1
"Bombus bimaculatus","35.824","-78.687","dataset provided",2
"Bombus bimaculatus","35.82777778","-78.715","dataset provided",1
"Bombus bimaculatus","35.83","-78.672","dataset provided",2
"Bombus bimaculatus","35.83","-78.77722222","dataset provided",2
"Bombus bimaculatus","35.83475113","-78.8286438","dataset provided",1
"Bombus bimaculatus","35.83861111","-78.79027778","dataset provided",2
"Bombus bimaculatus","35.847","-78.627","dataset provided",1
"Bombus bimaculatus","35.848","-78.551","dataset provided",2
"Bombus bimaculatus","35.867","-78.648","dataset provided",1
"Bombus bimaculatus","35.871","-78.763","dataset provided",3
"Bombus bimaculatus","35.88305556","-78.76388889","dataset provided",2
"Bombus bimaculatus","35.89361111","-78.73083333","dataset provided",5
"Bombus bimaculatus","35.926","-78.601","dataset provided",5
"Bombus bimaculatus","35.932","-78.686","dataset provided",6
