"scientific_name","family","day","month","year","recorded_by","decimal_latitude","decimal_longitude","where_obtained_coordinates","n"
"Andrena cressonii","Andrenidae","1","4","1949","R.L. Rabb",35.781,-78.639,"dataset provided",1
"Andrena cressonii","Andrenidae","10","4","1922","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena cressonii","Andrenidae","10","4","1923","T.B. Mitchell",35.772,-78.639,"dataset provided",4
"Andrena cressonii","Andrenidae","10","4","1964","G.A. Matuza",35.77194,-78.63889,"dataset provided",1
"Andrena cressonii","Andrenidae","10","5","1927","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena cressonii","Andrenidae","10","5","1934","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena cressonii","Andrenidae","11","4","1923","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena cressonii","Andrenidae","12","3","1925","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena cressonii","Andrenidae","13","4","1925","T.B. Mitchell",35.772,-78.639,"dataset provided",2
"Andrena cressonii","Andrenidae","14","3","1921","W.B. Mabee",35.772,-78.639,"dataset provided",3
"Andrena cressonii","Andrenidae","14","5","2014","A. Hamblin",35.871,-78.763,"dataset provided",1
"Andrena cressonii","Andrenidae","15","3","1921","T.B. Mitchell",35.772,-78.639,"dataset provided",1
"Andrena cressonii","Andrenidae","15","3","1945","T.B. Mitchell",35.781,-78.639,"dataset provided",3
"Andrena cressonii","Andrenidae","15","5","1945","T.B. Mitchell",35.772,-78.639,"dataset provided",1
